alpha,gen_error
0.0,0.38576924742253743
0.0333333333,0.38983397654849256
0.0666666666,0.3850014758635755
0.0999999999,0.385858019658417
0.1333333332,0.38620451975527176
0.1666666665,0.3847197827928925
0.1999999998,0.3801219578078816
0.2333333331,0.3699448507361799
0.2666666664,0.3605752863131721
0.2999999997,0.3489031507809933
0.333333333,0.33666168477253305
0.3666666663,0.3210228414262696
0.3999999996,0.2910472694203277
0.4333333329,0.26272098324974125
0.4666666662,0.2299044128310558
0.4999999995,0.18411141652858354
0.5333333328,0.14222092977268705
0.5666666661,0.10946260442095497
0.5999999994,0.09405243524869136
0.6333333327,0.07827819193503689
0.666666666,0.06684159133233106
0.6999999993,0.06331542854006347
0.7333333326,0.05512545651053185
0.7666666659,0.05268983636418027
0.7999999992,0.04667273740044811
0.8333333325,0.041005449980894865
0.8666666658,0.042359338227994085
0.8999999991,0.04016062642240004
0.9333333324,0.03973070191805872
0.9666666657,0.03802049324635839
0.999999999,0.03820710554360341
1.0333333323,0.03718376980857806
1.0666666656,0.0361899097783006
1.0999999989,0.03505968669631899
1.1333333322,0.036134643501620406
1.1666666655,0.03565080303510884
1.1999999988,0.0367576683088817
1.2333333321,0.03505808452832888
1.2666666654,0.03681468110950428
1.2999999987,0.03493682703063279
1.333333332,0.035547569146528527
1.3666666653,0.034885100919110845
1.3999999986,0.034770648633320904
1.4333333319,0.03609927534631465
1.4999999985,0.034628734177195815
1.5333333318,0.03564259218913689
1.5666666651,0.0351472086849386
1.5999999984,0.03496864335677616
