alpha,Q11,Q22,Q33
0.0,1.1572286884517134e-33,1.1572286884517134e-33,1.1572286884517134e-33
0.0625,6.519760949917096e-05,6.258297633684444e-05,4.940750967719192e-21
0.125,0.00012964337473963142,0.0001268673093047273,5.094018154178307e-12
0.1875,0.00019998838474698656,0.0001920171133400844,5.272914209246607e-05
0.25,0.000271539490948885,0.0002573828727633563,0.049014934536819474
0.3125,0.00034027928129620787,0.00032742866876594507,0.16546729860199688
0.375,0.0004283730027260208,0.00040279038201788085,0.3131279394406821
0.4375,0.0005366566561584601,0.0004940665847228659,0.4752118124163897
0.5,0.0006862404115808515,0.0006223336958389525,0.6354491698445199
0.5625,0.0009130920818888241,0.0007982509731190325,0.7615963481189727
0.625,0.0013166311969129694,0.0010916446738922017,0.8490274069656014
0.6875,0.0020211660115418344,0.0016163277390017412,0.9037776909146032
0.75,0.003067040048925638,0.0022945123276064054,0.9323301285748412
0.8125,0.004695007484399867,0.0032896195588669186,0.9498724167951691
0.875,0.008563250236104727,0.0051113317356105345,0.9634002795637662
0.9375,0.014810846260919478,0.007727049773591693,0.9707929643439769
1.0,0.028245354081732822,0.01227969519468831,0.9767326354823853
1.0625,0.05664804395532499,0.02131434883486543,0.9808560681357772
1.125,0.10941514415670847,0.03677268341547423,0.983584435565429
1.1875,0.1842799015475545,0.0722168139123029,0.986053591009561
1.25,0.24727296579946917,0.1320342439331285,0.9875930609397411
1.3125,0.31306174117620805,0.2098780436234584,0.9894436748569575
1.375,0.3726246002887702,0.30008703601927894,0.9910164144392521
1.4375,0.41949355334796234,0.362801259444623,0.9918320672342569
1.5,0.44482063183670484,0.40587973714899783,0.992945315968309
1.5625,0.4728309782100153,0.4414563736124236,0.9936330283511765
1.625,0.4834938967217105,0.4589924091050118,0.9942104818772315
1.6875,0.49955883301881193,0.4794629316937321,0.9945935779969023
1.75,0.5052752509894385,0.498041364891571,0.9950526075498136
1.8125,0.5234741281539377,0.5128446684890238,0.9954037916780514
1.875,0.5290578423848216,0.5241630458035409,0.9958048895919595
1.9375,0.5390134687382359,0.5320432165884629,0.9959752060700767
2.0,0.5484755850510773,0.5382658040422702,0.9961828242177649
2.0625,0.5510735011587427,0.545963345351542,0.9964022382449045
2.125,0.5600796592623688,0.5577090226590423,0.9966351579919269
2.1875,0.5649261473690746,0.5625081867836114,0.9967042498082588
2.25,0.5664612697350602,0.5648184709583504,0.9968744172878422
2.3125,0.5720402267484788,0.5740077516482991,0.9970747717916921
2.375,0.5780678673132427,0.5763425763090357,0.9970986657141456
2.4375,0.5878871016762623,0.5837740042039224,0.9971861607927288
2.5,0.5935476843510721,0.5863590904991309,0.9973359018871424
2.5625,0.5913770915895056,0.5958330164992885,0.9973519917322846
2.625,0.5974912615804693,0.590456531548236,0.9974762680138631
2.6875,0.6022037201500857,0.5985264246417876,0.9974786938625364
2.75,0.6084668933804134,0.5980056383205261,0.9976875769423256
2.8125,0.6086629500554187,0.6112851589821283,0.9976888045445502
2.875,0.6164526717758942,0.6016093780960171,0.9977332796361482
2.9375,0.6209200940848466,0.606880076888284,0.9977531892338185
3.0,0.6232274603677042,0.6140650269623926,0.997750229661778
