alpha,Q11,Q22
0.0,0.0,9.007199254740889e-36
0.0333333333,1.1848384711678058e-23,3.1470532854906334e-18
0.0666666666,-1.2466759410822101e-20,2.435374458504167e-13
0.0999999999,4.667483120671256e-17,6.872211924026973e-09
0.1333333332,2.3853684672233806e-15,1.2830580272950606e-05
0.1666666665,-1.8528558543765578e-13,0.004036677490529693
0.1999999998,-1.3856446527551713e-14,0.029387726391878085
0.2333333331,-8.691015021366771e-14,0.07364965339600868
0.2666666664,-1.38772317190068e-11,0.12440749449493689
0.2999999997,-1.5071699054542185e-13,0.21816678124759636
0.333333333,-1.1308073606475644e-12,0.2938110630374394
0.3666666663,-2.9671241446033886e-11,0.38836945061469835
0.3999999996,-1.4402340271466034e-11,0.4987833032051597
0.4333333329,9.600255206158978e-16,0.5846935016296367
0.4666666662,-3.946218146866469e-12,0.6758716765631864
0.4999999995,-4.694300723491767e-10,0.7734406058162582
0.5333333328,3.838671163474289e-08,0.8470306781859979
0.5666666661,-2.587181084653138e-08,0.898014612333913
0.5999999994,9.304327683764164e-08,0.9212247774502919
0.6333333327,3.668136742948115e-06,0.9448072905780864
0.666666666,1.4764926755330924e-05,0.9586302890655314
0.6999999993,8.271566105362258e-05,0.9640528217046078
0.7333333326,-0.00015696563357929608,0.9735652496619056
0.7666666659,0.00013261828330725188,0.9762357678084587
0.7999999992,8.584311976940988e-05,0.984627798246328
0.8333333325,0.18715497670847145,0.9916652837982013
0.8666666658,0.3497994231616773,0.9891789101521308
0.8999999991,0.4510880639572492,0.9928984403157896
0.9333333324,0.5656329863620578,0.993675324147847
0.9666666657,0.6052358044032145,0.9956342702878627
0.999999999,0.6140024242136464,0.9947382200851516
1.0333333323,0.6598163505475582,0.996416932240527
1.0666666656,0.722243337553824,0.9978297249927615
1.0999999989,0.7553515531517018,0.9996185586197008
1.1333333322,0.7732838813266087,0.9978434542313748
1.1666666655,0.7844762925608882,0.9982534354995801
1.1999999988,0.8226128431937795,0.9978426423215353
1.2333333321,0.8392815972234672,0.9990381536716907
1.2666666654,0.8390706244994055,0.9984536553294645
1.2999999987,0.8635265498965785,0.9996130116943395
1.333333332,0.8736677471512545,0.9985579006431207
1.3666666653,0.899989692883733,0.99978483446655
1.3999999986,0.91051100803418,0.9997329656726509
1.4333333319,0.9199201140953732,0.9980374262032948
1.4999999985,0.9103369479350115,0.99939153466455
1.5333333318,0.9162902704322842,0.9990097426438331
1.5666666651,0.9185518709444999,0.9990186652742836
1.5999999984,0.9196201688620653,0.9990741720307947
