alpha,Q11_mean,Q11_std,Q22_mean,Q22_std
0.1,1.9421077948141325e-07,7.934938018723649e-07,0.0015390277982182546,0.004652992016413211
0.2,1.586903394817371e-07,7.384663863650306e-07,0.014060355500398504,0.023727702793917824
0.3,1.858666070150525e-06,3.384159660241099e-05,0.21886090555583584,0.030803435329786858
0.4,8.956478480513488e-06,0.0005216687435942033,0.49382128403040304,0.03368278584518717
0.5,0.00024214409828432332,0.0012683998313746448,0.772702534402519,0.03622536217552176
0.6,6.038011665395147e-06,0.002545236716206694,0.9125299062403717,0.04960440982039162
0.7,0.002663849628600382,0.004220668554337404,0.9644981277039468,0.04087809193546759
0.8,0.0008155257793072631,0.005415079720592551,0.9830869181062551,0.04226508152429155
0.9,0.2602051890719406,0.1824013960468635,0.9809760899292664,0.03646822148644321
1.0,0.5198969227029636,0.134725132986142,0.9895499529453551,0.05886301513919526
1.1,0.7726605939001856,0.04525149921354841,1.0078617035529698,0.04678669606539773
1.2,0.8258749747835376,0.06110382765605942,1.0043431721223781,0.03205715946495401
1.3,0.8537827417460544,0.038316596267020324,0.9938371172618063,0.039096928833975295
1.4,0.8968058540497608,0.046006982016940055,0.9903685046775913,0.03328965672560575
1.5,0.9020848810866553,0.03487370302742649,0.9981955221665981,0.032983713842949985
