alpha,Q11,Q22
0.0,0.0,2.567490545683045e-06
0.14358446549404996,0.0,2.567490545683045e-06
0.1666666665,0.0,0.007208937721132304
0.17795275572755906,0.0,0.010259891822515502
0.1892388449551181,0.0,0.01649033722905261
0.20052493418267717,0.0,0.02572538980329658
0.21181102341023622,0.0,0.03779016540780031
0.22309711263779528,0.0,0.05250977990511677
0.23438320186535433,0.0,0.06970934915779886
0.24566929109291338,0.0,0.08921398902839955
0.25695538032047244,0.0,0.1108488153794717
0.2682414695480315,0.0,0.13443894407356835
0.27952755877559055,0.0,0.15980949097324226
0.29081364800314957,0.0,0.18678557194104642
0.30209973723070865,0.0,0.21519230283953394
0.31338582645826774,0.0,0.24485479953125766
0.32467191568582676,0.0,0.2755981778787703
0.3359580049133858,0.0,0.3072475537446249
0.34724409414094487,0.0,0.3396280429913747
0.35853018336850395,0.0,0.37256476148157236
0.369816272596063,0.0,0.40588289343958267
0.381102361823622,0.0,0.4394139316428043
0.3923884510511811,0.0,0.47300068575519083
0.40367454027874017,0.0,0.5064871440094127
0.4149606295062992,0.0,0.5397172946381411
0.4262467187338583,0.0,0.5725351258740472
0.4375328079614173,0.0,0.6047846259498015
0.44881889718897633,0.0,0.6363097830980755
0.4601049864165354,0.0,0.6669545855515401
0.4713910756440945,0.0,0.696563021542866
0.4826771648716535,0.0,0.724979079304724
0.49396325409921255,0.0,0.7520467470697857
0.5052493433267716,0.0,0.7776100130707215
0.5165354325543308,0.0,0.8015128655402027
0.5278215217818898,0.0,0.8235992927109
0.5391076110094488,0.0,0.8437194053245286
0.5503937002370078,0.0,0.8618567311157637
0.5616797894645669,0.0,0.8781242283964622
0.5729658786921259,0.0,0.8926401804743734
0.5842519679196849,0.0,0.9055228706572461
0.5955380571472441,0.0,0.9168905822528294
0.6068241463748032,0.0,0.9268615985688718
0.6181102356023622,0.0,0.9355542029131234
0.6293963248299212,0.0,0.9430866785933324
0.6406824140574803,0.0,0.9495773089172483
0.6519685032850393,0.0,0.9551443771926201
0.6632545925125983,0.0,0.9599061667271966
0.6745406817401574,0.0,0.9639809608287268
0.6858267709677166,0.0,0.9674870428049598
0.6971128601952756,0.0,0.9705426959636452
0.7083989494228347,0.0,0.9732594235953436
0.7196850386503937,0.0,0.9756885590279012
0.793646302451566,3.2044333152599608e-06,0.9858606917203893
0.7999999992,0.042925061998174883,0.9863893899013251
0.8062992117921259,0.07276437595260368,0.9868556785364805
0.8125984243842519,0.10177036180709692,0.9872961279612519
0.818897636976378,0.12995612604181486,0.9877004024914855
0.8251968495685039,0.15733477513691638,0.9880727479812466
0.8314960621606299,0.18391941557256175,0.9884259360467241
0.8377952747527558,0.20972315382891077,0.9887456584250431
0.8440944873448819,0.23475909638612372,0.9890574696999127
0.8503936999370079,0.2590403497243595,0.9893412677563753
0.8566929125291338,0.28258002032377827,0.9896204899267733
0.8629921251212598,0.30539121466454,0.9898859844389772
